Age,0
10.0,0.0
65.0,0.0
62.0,0.0
64.0,0.0
70.0,0.0
67.0,0.0
97.0,0.0
96.0,0.0
88.0,0.0
84.0,0.0
81.0,0.0
80.0,0.0
77.0,0.0
76.0,0.0
75.0,0.0
74.0,0.0
57.0,0.014705882352941176
69.0,0.016666666666666666
15.0,0.02957121734844751
71.0,0.030303030303030304
49.0,0.03170028818443804
17.0,0.03257542632269349
52.0,0.03361344537815126
59.0,0.034482758620689655
16.0,0.0347953216374269
47.0,0.035443037974683546
63.0,0.03571428571428571
51.0,0.035897435897435895
48.0,0.03787878787878788
14.0,0.038314176245210725
19.0,0.03956458028051078
18.0,0.039746798174591494
13.0,0.040697674418604654
53.0,0.04081632653061224
43.0,0.04095112285336856
42.0,0.04096385542168675
39.0,0.04143426294820717
72.0,0.041666666666666664
50.0,0.04363636363636364
54.0,0.04375
20.0,0.044738955823293174
56.0,0.04580152671755725
45.0,0.04609929078014184
37.0,0.04672897196261682
21.0,0.04813454475159482
38.0,0.04922644163150492
35.0,0.04937333839726547
24.0,0.050755813953488375
22.0,0.05085449798243532
29.0,0.051835616438356165
41.0,0.05186020293122886
34.0,0.0529604284439155
25.0,0.05491641772071442
23.0,0.05536213686433423
33.0,0.05620848237097598
32.0,0.0563603889660647
31.0,0.05642375390689258
26.0,0.056540862656072645
36.0,0.05697081982399259
40.0,0.0578806767586821
61.0,0.058823529411764705
28.0,0.05912131621768216
30.0,0.05968971864317644
58.0,0.060240963855421686
27.0,0.06186540731995278
44.0,0.06363636363636363
66.0,0.06451612903225806
46.0,0.06683168316831684
60.0,0.06818181818181818
55.0,0.07766990291262135
68.0,0.08
12.0,0.0967741935483871
73.0,0.125
11.0,0.16666666666666666
